method,table,check,cbmc,esbmc,wp
eval_smax_bound,contract,sfull32,Y,Y,Y
eval_smax_bound,contract,sfull64,Y,Y,Y
eval_smax_bound,contract,unchanged_u,Y,Y,Y
eval_smax_bound,contract,unchanged_mask,Y,Y,Y
eval_smax_bound,contract,unchanged_v,Y,Y,Y
eval_smax_bound,contract,sord,Y,Y,Y
eval_smax_bound,contract,swidth,Y,Y,Y
eval_smax_bound,memsafety,bounds,Y,Y,Y
eval_smax_bound,memsafety,pointer,Y,Y,Y
eval_smax_bound,memsafety,division,Y,Y,-
eval_smax_bound,memsafety,signed-overflow,Y,Y,-
eval_smax_bound,memsafety,unsigned-overflow,Y,Y,-
eval_smax_bound,memsafety,shift,Y,Y,-
eval_smax_bound,memsafety,memory-leak,Y,Y,-
eval_smax_bound,memsafety,nan,Y,Y,-
eval_smax_bound,memsafety,struct-fields,-,Y,-
eval_smax_bound,memsafety,data-races,-,Y,-
eval_smax_bound,memsafety,deadlock,-,Y,-
eval_smax_bound,memsafety,lock-order,-,Y,-
eval_smax_bound,memsafety,atomicity,-,Y,-
eval_umax_bound,contract,ufull,Y,Y,Y
eval_umax_bound,contract,umax_ok,Y,Y,Y
eval_umax_bound,contract,unchanged_s,Y,Y,Y
eval_umax_bound,contract,unchanged_mask,Y,Y,Y
eval_umax_bound,contract,unchanged_v,Y,Y,Y
eval_umax_bound,contract,uord,Y,Y,Y
eval_umax_bound,contract,uwidth,Y,Y,Y
eval_umax_bound,memsafety,bounds,Y,Y,Y
eval_umax_bound,memsafety,pointer,Y,Y,Y
eval_umax_bound,memsafety,division,Y,Y,-
eval_umax_bound,memsafety,signed-overflow,Y,Y,-
eval_umax_bound,memsafety,unsigned-overflow,Y,Y,-
eval_umax_bound,memsafety,shift,Y,Y,-
eval_umax_bound,memsafety,memory-leak,Y,Y,-
eval_umax_bound,memsafety,nan,Y,Y,-
eval_umax_bound,memsafety,struct-fields,-,Y,-
eval_umax_bound,memsafety,data-races,-,Y,-
eval_umax_bound,memsafety,deadlock,-,Y,-
eval_umax_bound,memsafety,lock-order,-,Y,-
eval_umax_bound,memsafety,atomicity,-,Y,-
eval_max_bound,contract,ufull,Y,Y,Y
eval_max_bound,contract,umax_ok,Y,Y,Y
eval_max_bound,contract,sfull32,Y,Y,Y
eval_max_bound,contract,sfull64,Y,Y,Y
eval_max_bound,contract,unchanged_mask,Y,Y,Y
eval_max_bound,contract,unchanged_v,Y,Y,Y
eval_max_bound,contract,uord,Y,Y,Y
eval_max_bound,contract,sord,Y,Y,Y
eval_max_bound,contract,valid,Y,Y,Y
eval_max_bound,contract,consist_min,-,-,Y
eval_max_bound,contract,consist_max,-,-,Y
eval_max_bound,contract,uwidth,Y,Y,Y
eval_max_bound,contract,swidth,Y,Y,Y
eval_max_bound,memsafety,bounds,Y,Y,-
eval_max_bound,memsafety,pointer,Y,Y,-
eval_max_bound,memsafety,division,Y,Y,-
eval_max_bound,memsafety,signed-overflow,Y,Y,-
eval_max_bound,memsafety,unsigned-overflow,Y,Y,-
eval_max_bound,memsafety,shift,Y,Y,-
eval_max_bound,memsafety,memory-leak,Y,Y,-
eval_max_bound,memsafety,nan,Y,Y,-
eval_max_bound,memsafety,struct-fields,-,Y,-
eval_max_bound,memsafety,data-races,-,Y,-
eval_max_bound,memsafety,deadlock,-,Y,-
eval_max_bound,memsafety,lock-order,-,Y,-
eval_max_bound,memsafety,atomicity,-,Y,-
eval_fill_max_bound,contract,ufull,Y,Y,Y
eval_fill_max_bound,contract,umax_ok,Y,Y,Y
eval_fill_max_bound,contract,sfull32,Y,Y,Y
eval_fill_max_bound,contract,sfull64,Y,Y,Y
eval_fill_max_bound,contract,mask_set,Y,Y,Y
eval_fill_max_bound,contract,mask_ok,Y,Y,Y
eval_fill_max_bound,contract,type_raw,Y,Y,Y
eval_fill_max_bound,contract,unchanged_size,Y,Y,Y
eval_fill_max_bound,contract,unchanged_buf,Y,Y,Y
eval_fill_max_bound,contract,uord,Y,Y,Y
eval_fill_max_bound,contract,sord,Y,Y,Y
eval_fill_max_bound,contract,valid,Y,Y,Y
